Model,Precision,Recall,F1,FPR,FNR
Bidirectional LSTM,1.0,0.994375,0.9971795675336885,0.0,0.005625
LSTM Autoencoder,0.9576593720266413,0.6290625,0.7593360995850622,0.11125,0.3709375
