Temperature,Validation_Log_Loss
0.5,0.009183331994033771
0.55,0.009725701069744396
0.6,0.01058921260409051
0.65,0.011798736114185499
0.7,0.01338794301830598
0.75,0.015395090004054642
0.8,0.017859469914752055
0.8500000000000001,0.02081849323662969
0.9,0.024305411198269355
0.95,0.028347673001602375
1.0,0.03296587522055725
1.05,0.03817323255610106
1.1,0.04397548242724431
1.15,0.05037113083364689
1.2000000000000002,0.05735195058308717
1.25,0.06490365206225462
1.3,0.07300665852911524
1.35,0.08163693047871887
1.4,0.09076679574082334
1.4500000000000002,0.10036575290442883
1.5,0.11040122510393462
1.55,0.12083924905940904
1.6,0.13164509060005822
1.6500000000000001,0.14278378285505197
1.7000000000000002,0.15422058704501718
1.75,0.16592137853566977
1.8,0.17785296270086268
1.85,0.1899833263496164
1.9000000000000001,0.20228183114549533
1.9500000000000002,0.21471935571191847
2.0,0.2272683930788221
2.05,0.23990310987129385
2.1,0.25259937323945514
2.1500000000000004,0.2653347510364894
2.2,0.2780884902112016
2.25,0.29084147782516867
2.3,0.30357618855598195
2.35,0.3162766220237466
2.4000000000000004,0.32892823278872635
2.45,0.3415178554202337
2.5,0.354033626633668
2.5500000000000003,0.366464906134632
2.6,0.37880219749520516
2.65,0.3910370701154043
2.7,0.4031620830895703
2.75,0.41517071159941576
2.8000000000000003,0.42705727628911944
2.85,0.4388168759395214
2.9000000000000004,0.4504453236446993
2.95,0.46193908660168403
3.0,0.4732952295498345
