Model,Validation_Macro_F1,Fusion_Weight
Random Forest,0.9987509297035487,0.33559704890835157
Recurrence CNN,0.9805339068335691,0.3294758239530209
LSTM Classifier,0.9967572143460479,0.33492712713862755
