Feature_Group,Feature_Count,Macro_F1,Balanced_Accuracy,Attack_FPR,Attack_FNR,Training_Seconds,Inference_ms_per_window
ID + timing,14,0.9977540222586209,0.9977499999999999,0.0,0.0028125,1.7501605249999557,0.0163323102499362
All features,24,0.9975049448183773,0.9975000000000002,0.0,0.003125,2.168951795000794,0.016163391750069422
CAN ID only,8,0.9975047873905567,0.9974999999999999,0.0,0.003125,1.1354031319997375,0.013783112750161308
Payload only,10,0.9935272229301146,0.9935,0.00125,0.0075,2.187670315000105,0.016249251000090226
Timing only,6,0.707266386840973,0.71375,0.02875,0.0209375,3.133582853999542,0.016787298750159607
