Model,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,MCC,Macro_ROC_AUC_OVR,Macro_PR_AUC,Attack_FPR,Attack_FNR,ECE_10_bins,Log_Loss,Inference_ms_per_window,Throughput_windows_per_second,Model_Size_MB,Training_Seconds
Random Forest,0.99775,0.9977499999999999,0.9977750309023486,0.9977499999999999,0.9977540222586209,0.9977540222586208,0.997191784817656,0.99947453125,0.9985555721259797,0.0,0.0028125,0.00043776851890106865,0.03378279536914289,0.021515118000024813,46478.945641796934,2.6736764907836914,3.4337777889995778
XGBoost,0.99775,0.9977499999999999,0.9977750309023486,0.9977499999999999,0.9977540222586209,0.9977540222586208,0.997191784817656,0.9998276562500001,0.9992776923947206,0.0,0.0028125,0.0017580741345882853,0.012293350597738997,0.0068439782501172886,146113.84832832607,1.2572851181030273,1.7304315880001013
Extra Trees,0.99725,0.99725,0.9972872996300863,0.99725,0.9972564912478858,0.997256491247886,0.9965686507161219,0.9996513671875,0.999271653483094,0.0,0.0034375,0.002359625990441785,0.021082764103434834,0.021386977749898506,46757.424620444355,8.566468238830566,0.7590319599994473
Logistic Regression,0.9965,0.9964999999999999,0.9965601965601966,0.9964999999999999,0.996511107388209,0.996511107388209,0.9956346452573454,0.99954375,0.9983350511866153,0.0,0.004375,0.0007427297631118913,0.018683186160064376,0.0014053324998712924,711575.3745761841,0.0028238296508789062,0.47004229800040775
Calibrated RF + CNN + LSTM Fusion,0.99525,0.9952500000000001,0.9953601953601954,0.9952500000000001,0.9952696380861361,0.9952696380861361,0.9940805955380398,0.9998578124999999,0.9994716126350311,0.0,0.0059375,0.001827941208853252,0.019051419398825084,0.2109273865000887,4740.968048734532,6.580352783203125e-05,
RF + CNN + LSTM Fusion,0.99525,0.9952500000000001,0.9953601953601954,0.9952500000000001,0.9952696380861361,0.9952696380861361,0.9940805955380398,0.9998576562500002,0.9994726897291242,0.0,0.0059375,0.02462045600260785,0.037979771802213694,0.2109273865000887,4740.968048734532,0.000118255615234375,
LSTM Classifier,0.99475,0.99475,0.994871010190654,0.99475,0.9947712957820185,0.9947712957820186,0.993457524580042,0.9997007812500002,0.9984636030220498,0.0,0.00625,0.015321407973766337,0.036426478891946966,0.04298033800000667,23266.452674240136,0.1573953628540039,5.748301127000559
Recurrence CNN,0.9805,0.9804999999999999,0.9809517025995433,0.9804999999999999,0.9805625079651488,0.9805625079651489,0.9757070238193984,0.9989028125000001,0.9964651136324933,0.00625,0.0084375,0.03807688215374947,0.09251972851036379,0.14639455625001574,6830.855091989751,0.10013675689697266,26.312346063000405
