direction,threshold,precision,recall,f1,accuracy,fpr
higher_is_attack,0.04215857713669539,0.7997997997997998,0.99875,0.8882712618121178,0.799,1.0
higher_is_attack,0.04351179373264313,0.7993981945837513,0.99625,0.8870339454646633,0.797,1.0
higher_is_attack,0.04388503348454833,0.7989949748743719,0.99375,0.8857938718662952,0.795,1.0
higher_is_attack,0.04438101900741458,0.798590130916415,0.99125,0.8845510317902956,0.793,1.0
higher_is_attack,0.04503911399841309,0.798183652875883,0.98875,0.8833054159687326,0.791,1.0
higher_is_attack,0.04548549745231867,0.7977755308392316,0.98625,0.8820570150922303,0.789,1.0
higher_is_attack,0.04563566004484892,0.7973657548125633,0.98375,0.8808058198097369,0.787,1.0
higher_is_attack,0.04602973386645317,0.7969543147208121,0.98125,0.8795518207282913,0.785,1.0
higher_is_attack,0.046209509905427694,0.7965412004069176,0.97875,0.8782950084127874,0.783,1.0
higher_is_attack,0.046359374769032,0.7961264016309888,0.97625,0.8770353733857383,0.781,1.0
higher_is_attack,0.04657714606821537,0.7957099080694586,0.97375,0.8757729061270376,0.779,1.0
higher_is_attack,0.046827079508453606,0.7952917093142272,0.97125,0.8745075970737197,0.777,1.0
higher_is_attack,0.04697072803974152,0.7948717948717948,0.96875,0.8732394366197183,0.775,1.0
higher_is_attack,0.047152265157550576,0.7944501541623844,0.96625,0.8719684151156233,0.773,1.0
higher_is_attack,0.04726914279907942,0.7940267765190525,0.96375,0.870694522868436,0.771,1.0
higher_is_attack,0.047392488848418,0.7936016511867905,0.96125,0.8694177501413228,0.769,1.0
higher_is_attack,0.04747517024353146,0.7931747673216132,0.95875,0.8681380871533673,0.767,1.0
higher_is_attack,0.04761991329491139,0.7927461139896373,0.95625,0.8668555240793201,0.765,1.0
higher_is_attack,0.04769575943425298,0.7923156801661475,0.95375,0.8655700510493477,0.763,1.0
higher_is_attack,0.047780750758945945,0.7918834547346514,0.95125,0.8642816581487791,0.761,1.0
higher_is_attack,0.047824602268636225,0.7914494264859229,0.94875,0.8629903354178511,0.759,1.0
higher_is_attack,0.04789666076004505,0.7910135841170324,0.94625,0.8616960728514513,0.757,1.0
higher_is_attack,0.04796978689730167,0.7905759162303665,0.94375,0.8603988603988604,0.755,1.0
higher_is_attack,0.04807436700537801,0.7901364113326338,0.94125,0.8590986879634912,0.753,1.0
higher_is_attack,0.048124723318964245,0.7896950578338591,0.93875,0.857795545402627,0.751,1.0
higher_is_attack,0.04828658873587847,0.7892518440463646,0.93625,0.8564894225271584,0.749,1.0
higher_is_attack,0.04840199552476406,0.7888067581837381,0.93375,0.8551803091013166,0.747,1.0
higher_is_attack,0.048457158487290146,0.7883597883597884,0.93125,0.8538681948424068,0.745,1.0
higher_is_attack,0.0486013569906354,0.7879109225874867,0.92875,0.8525530694205393,0.743,1.0
higher_is_attack,0.048671748045831915,0.7874601487778958,0.92625,0.8512349224583573,0.741,1.0
higher_is_attack,0.048753665827214715,0.7870074547390842,0.92375,0.8499137435307648,0.739,1.0
higher_is_attack,0.048907291278243066,0.7865528281750267,0.92125,0.8485895221646517,0.737,1.0
higher_is_attack,0.04898350525647402,0.786096256684492,0.91875,0.8472622478386167,0.735,1.0
higher_is_attack,0.0490686566606164,0.7856377277599143,0.91625,0.845931909982689,0.733,1.0
higher_is_attack,0.04914934663847089,0.7851772287862513,0.91375,0.8445984979780474,0.731,1.0
higher_is_attack,0.049235518544912336,0.7847147470398278,0.91125,0.843262001156738,0.729,1.0
higher_is_attack,0.049317464746534825,0.7842502696871629,0.90875,0.8419224088013897,0.727,1.0
higher_is_attack,0.049499929137527945,0.7837837837837838,0.90625,0.8405797101449275,0.725,1.0
higher_is_attack,0.04955272514373064,0.7833152762730228,0.90375,0.8392338943702844,0.723,1.0
higher_is_attack,0.049617844749242065,0.7828447339847991,0.90125,0.8378849506101104,0.721,1.0
higher_is_attack,0.04968906305357814,0.7823721436343852,0.89875,0.8365328679464805,0.719,1.0
higher_is_attack,0.049784845601767304,0.781897491821156,0.89625,0.8351776354105999,0.717,1.0
higher_is_attack,0.04986289551481605,0.7814207650273224,0.89375,0.8338192419825073,0.715,1.0
higher_is_attack,0.049921635288745166,0.7809419496166484,0.89125,0.8324576765907764,0.713,1.0
higher_is_attack,0.0500222748555243,0.7804610318331504,0.88875,0.831092928112215,0.711,1.0
higher_is_attack,0.050087125487625596,0.7799779977997799,0.88625,0.8297249853715624,0.709,1.0
higher_is_attack,0.05014811109751463,0.7794928335170893,0.88375,0.8283538371411834,0.707,1.0
higher_is_attack,0.05020534010604024,0.7790055248618785,0.88125,0.8269794721407625,0.705,1.0
higher_is_attack,0.05041683252900839,0.778516057585825,0.87875,0.8256018790369936,0.703,1.0
higher_is_attack,0.05045863285288215,0.7780244173140954,0.87625,0.8242210464432687,0.701,1.0
higher_is_attack,0.05052891878038645,0.7775305895439377,0.87375,0.8228369629193644,0.699,1.0
higher_is_attack,0.050568291474133734,0.7770345596432553,0.87125,0.8214496169711255,0.697,1.0
higher_is_attack,0.05065645307302475,0.776536312849162,0.86875,0.8200589970501475,0.695,1.0
higher_is_attack,0.05080324328690767,0.7760358342665173,0.86625,0.8186650915534555,0.693,1.0
higher_is_attack,0.05086114565655589,0.7755331088664422,0.86375,0.8172678888231816,0.691,1.0
higher_is_attack,0.050980061538517474,0.7750281214848144,0.86125,0.8158673771462404,0.689,1.0
higher_is_attack,0.05109450336545706,0.7745208568207441,0.85875,0.8144635447540012,0.687,1.0
higher_is_attack,0.051192121729254726,0.7740112994350282,0.85625,0.8130563798219584,0.685,1.0
higher_is_attack,0.05127585158869624,0.7734994337485843,0.85375,0.8116458704693998,0.683,1.0
higher_is_attack,0.051366025160998106,0.7729852440408627,0.85125,0.810232004759072,0.681,1.0
higher_is_attack,0.05144346513226628,0.7724687144482366,0.84875,0.8088147706968434,0.679,1.0
higher_is_attack,0.051540193717926744,0.7719498289623717,0.84625,0.8073941562313656,0.677,1.0
higher_is_attack,0.05167041113600135,0.7714285714285715,0.84375,0.8059701492537313,0.675,1.0
higher_is_attack,0.05173612155020237,0.7709049255441008,0.84125,0.8045427375971309,0.673,1.0
higher_is_attack,0.051811796963214876,0.7703788748564868,0.83875,0.8031119090365051,0.671,1.0
higher_is_attack,0.05185967138409615,0.7698504027617952,0.83625,0.8016776512881966,0.669,1.0
higher_is_attack,0.051972430974245074,0.7693194925028836,0.83375,0.8002399520095981,0.667,1.0
higher_is_attack,0.052009465154260394,0.7687861271676301,0.83125,0.7987987987987988,0.665,1.0
higher_is_attack,0.052102956783026455,0.7682502896871379,0.82875,0.7973541791942274,0.663,1.0
higher_is_attack,0.05218780883029103,0.7677119628339141,0.82625,0.7959060806742926,0.661,1.0
higher_is_attack,0.052320496179163456,0.7671711292200233,0.82375,0.7944544906570223,0.659,1.0
higher_is_attack,0.05240803717449308,0.7666277712952159,0.82125,0.7929993964996982,0.657,1.0
higher_is_attack,0.05253125289455056,0.7660818713450293,0.81875,0.7915407854984894,0.655,1.0
higher_is_attack,0.05260089085251093,0.7655334114888629,0.81625,0.7900786448880823,0.653,1.0
higher_is_attack,0.05269680032506585,0.7649823736780259,0.81375,0.7886129618413082,0.651,1.0
higher_is_attack,0.05275049393996596,0.7644287396937574,0.81125,0.7871437234687689,0.649,1.0
higher_is_attack,0.05290271576866507,0.7638724911452184,0.80875,0.7856709168184578,0.647,1.0
higher_is_attack,0.05299123832955956,0.7633136094674556,0.80625,0.78419452887538,0.645,1.0
higher_is_attack,0.05307544734328985,0.7627520759193357,0.80375,0.7827145465611686,0.643,1.0
higher_is_attack,0.0532056207023561,0.7621878715814506,0.80125,0.7812309567336989,0.641,1.0
higher_is_attack,0.05330651794373989,0.7616209773539928,0.79875,0.7797437461866992,0.639,1.0
higher_is_attack,0.053468771375715735,0.7610513739545998,0.79625,0.7782529016493586,0.637,1.0
higher_is_attack,0.05368733044713736,0.7604790419161677,0.79375,0.7767584097859327,0.635,1.0
higher_is_attack,0.05385219166055322,0.7599039615846338,0.79125,0.775260257195346,0.633,1.0
higher_is_attack,0.05400784404203296,0.7593261131167268,0.78875,0.773758430410791,0.631,1.0
higher_is_attack,0.054137350641191004,0.758745476477684,0.78625,0.7722529158993248,0.629,1.0
higher_is_attack,0.05427804071828723,0.7581620314389359,0.78375,0.7707437000614629,0.627,1.0
higher_is_attack,0.054397964105010035,0.7575757575757576,0.78125,0.7692307692307693,0.625,1.0
higher_is_attack,0.054591839496046304,0.7569866342648846,0.77875,0.7677141096734442,0.623,1.0
higher_is_attack,0.0548271969743073,0.756394640682095,0.77625,0.7661937075879087,0.621,1.0
higher_is_attack,0.055075896322727205,0.7557997557997558,0.77375,0.7646695491043854,0.619,1.0
higher_is_attack,0.055236869562417266,0.7552019583843329,0.77125,0.7631416202844774,0.617,1.0
higher_is_attack,0.05557055756449699,0.754601226993865,0.76875,0.7616099071207431,0.615,1.0
higher_is_attack,0.055710393346846104,0.7539975399753998,0.76625,0.7600743955362679,0.613,1.0
higher_is_attack,0.056013031840324405,0.7533908754623921,0.76375,0.7585350713842334,0.611,1.0
higher_is_attack,0.05631230269744992,0.7530902348578492,0.7615625,0.757302672467371,0.6095,0.99875
higher_is_attack,0.056735255029052495,0.7524783147459727,0.7590625,0.7557560672059739,0.6075,0.99875
higher_is_attack,0.057293683886528016,0.7521739130434782,0.756875,0.7545171339563863,0.606,0.9975
higher_is_attack,0.058153461538255215,0.7521793275217933,0.755,0.7535870243293824,0.605,0.995
higher_is_attack,0.05865120373293758,0.7524968789013733,0.7534375,0.7529668956901936,0.6045,0.99125
higher_is_attack,0.05934754461795092,0.7540675844806007,0.753125,0.7535959974984365,0.606,0.9825
higher_is_attack,0.05966943630948663,0.7559598494353826,0.753125,0.754539762053851,0.608,0.9725
higher_is_attack,0.059967167321592574,0.7575471698113208,0.7528125,0.7551724137931034,0.6095,0.96375
higher_is_attack,0.0603130519837141,0.7591424968474149,0.7525,0.7558066541117389,0.611,0.955
higher_is_attack,0.06058388275280595,0.7607458912768648,0.7521875,0.7564424890006285,0.6125,0.94625
higher_is_attack,0.06080773281678557,0.7623574144486692,0.751875,0.7570799244808055,0.614,0.9375
higher_is_attack,0.06097586246579886,0.764294790343075,0.751875,0.7580340264650284,0.616,0.9275
higher_is_attack,0.061081229392439124,0.7662420382165606,0.751875,0.7589905362776025,0.618,0.9175
higher_is_attack,0.06124075399711728,0.7681992337164751,0.751875,0.7599494630448516,0.62,0.9075
higher_is_attack,0.0613882482945919,0.7701664532650448,0.751875,0.7609108159392789,0.622,0.8975
higher_is_attack,0.06156086575984955,0.7721437740693197,0.751875,0.7618746041798606,0.624,0.8875
higher_is_attack,0.061697252411395315,0.7734877734877735,0.75125,0.7622067216233355,0.625,0.88
higher_is_attack,0.061910540144890544,0.7748387096774193,0.750625,0.7625396825396825,0.626,0.8725
higher_is_attack,0.06197818140313029,0.7765200517464425,0.7503125,0.763191354100445,0.6275,0.86375
higher_is_attack,0.06212625886499882,0.7782101167315175,0.75,0.7638446849140674,0.629,0.855
higher_is_attack,0.06219649460911751,0.7799089726918076,0.7496875,0.7644996813256851,0.6305,0.84625
