Model,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,MCC,Log_Loss,Macro_ROC_AUC_OVR,Macro_PR_AUC,Attack_FPR,Attack_FNR,ECE_10_bins,Inference_ms_per_window,Throughput_windows_per_second,Model_Size_MB
RF + CNN + LSTM Fusion,0.99525,0.9952500000000001,0.9953601953601954,0.9952500000000001,0.9952696380861361,0.9952696380861361,0.9940805955380398,0.037979771802213694,0.9998576562500002,0.9994726897291242,0.0,0.0059375,0.02462045600260785,0.2109273865000887,4740.968048734532,0.000118255615234375
Calibrated RF + CNN + LSTM Fusion,0.99525,0.9952500000000001,0.9953601953601954,0.9952500000000001,0.9952696380861361,0.9952696380861361,0.9940805955380398,0.019051419398825084,0.9998578124999999,0.9994716126350311,0.0,0.0059375,0.001827941208853252,0.2109273865000887,4740.968048734532,6.580352783203125e-05
