Model,Accuracy,Macro_F1,Macro_ROC_AUC_OVR,Macro_PR_AUC,Attack_FPR,Attack_FNR,ECE_10_bins,Inference_ms_per_window,Model_Size_MB
Random Forest,0.99775,0.9977540222586209,0.99947453125,0.9985555721259797,0.0,0.0028125,0.00043776851890106865,0.021515118000024813,2.6736764907836914
XGBoost,0.99775,0.9977540222586209,0.9998276562500001,0.9992776923947206,0.0,0.0028125,0.0017580741345882853,0.0068439782501172886,1.2572851181030273
Extra Trees,0.99725,0.9972564912478858,0.9996513671875,0.999271653483094,0.0,0.0034375,0.002359625990441785,0.021386977749898506,8.566468238830566
Logistic Regression,0.9965,0.996511107388209,0.99954375,0.9983350511866153,0.0,0.004375,0.0007427297631118913,0.0014053324998712924,0.0028238296508789062
Calibrated RF + CNN + LSTM Fusion,0.99525,0.9952696380861361,0.9998578124999999,0.9994716126350311,0.0,0.0059375,0.001827941208853252,0.2109273865000887,6.580352783203125e-05
RF + CNN + LSTM Fusion,0.99525,0.9952696380861361,0.9998576562500002,0.9994726897291242,0.0,0.0059375,0.02462045600260785,0.2109273865000887,0.000118255615234375
LSTM Classifier,0.99475,0.9947712957820185,0.9997007812500002,0.9984636030220498,0.0,0.00625,0.015321407973766337,0.04298033800000667,0.1573953628540039
Recurrence CNN,0.9805,0.9805625079651488,0.9989028125000001,0.9964651136324933,0.00625,0.0084375,0.03807688215374947,0.14639455625001574,0.10013675689697266
